success,datetime,sleep,caffeine,energy,job,study,treated,board games,youtube,laziness,shower,rbs,burtnieku,snoosing,unlucky,fast cooking,office,fasted,lucky,healthy cooking,notion,restaurant,spend money,movie,success_yesterday,sleep_yesterday,caffeine_yesterday,energy_yesterday
0.5,2023-10-07 23:59:00,1.0,0.75,0.66,0.0,0.0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,,,,
1.0,2023-10-08 15:09:00,0.66,0.34,0.66,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0.5,1.0,0.75,0.66
0.75,2023-10-09 22:15:00,0.66,1.0,0.66,1.0,0.25,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1.0,0.66,0.34,0.66
0.5,2023-10-10 20:00:00,0.33,1.0,0.0,0.75,0.5,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0.75,0.66,1.0,0.66
1.0,2023-10-11 20:06:00,0.33,1.0,1.0,0.25,1.0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0.5,0.33,1.0,0.0
1.0,2023-10-12 20:00:00,0.33,1.0,0.66,1.0,0.25,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1.0,0.33,1.0,1.0
0.75,2023-10-13 22:41:00,0.33,0.8300000000000001,0.0,1.0,0.25,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0,1.0,0.33,1.0,0.66
0.0,2023-10-14 20:03:00,1.0,0.5900000000000001,0.33,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.33,0.8300000000000001,0.0
0.5,2023-10-15 23:02:00,1.0,1.0,0.33,0.75,0.25,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0.0,1.0,0.5900000000000001,0.33
0.75,2023-10-16 20:00:00,0.33,0.8300000000000001,0.66,0.5,0.75,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0.5,1.0,1.0,0.33
0.5,2023-10-17 20:00:00,0.33,1.0,0.33,0.75,0.5,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,0,0.75,0.33,0.8300000000000001,0.66
0.0,2023-10-18 20:00:00,0.33,1.0,0.33,0.5,0.75,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0.5,0.33,1.0,0.33
0.5,2023-10-19 20:00:00,0.33,1.0,1.0,0.5,1.0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.0,0.33,1.0,0.33
0.0,2023-10-20 20:03:00,0.0,0.75,1.0,0.5,0.0,1,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,0,0.5,0.33,1.0,1.0
0.25,2023-10-21 20:04:00,0.66,0.67,0.0,0.0,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.75,1.0
0.5,2023-10-22 23:23:00,1.0,1.0,0.66,0.0,1.0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0.25,0.66,0.67,0.0
1.0,2023-10-23 20:00:00,0.66,1.0,1.0,0.5,1.0,0,0,1,0,1,1,0,1,0,1,1,1,1,0,0,0,0,0,0.5,1.0,1.0,0.66
1.0,2023-10-24 20:01:00,0.66,0.92,1.0,0.75,0.75,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1.0,0.66,1.0,1.0
1.0,2023-10-25 21:30:00,0.33,1.0,0.66,0.5,0.5,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,1.0,0.66,0.92,1.0
0.0,2023-10-26 22:20:00,0.0,1.0,0.0,0.5,0.75,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0,0.33,1.0,0.66
0.25,2023-10-27 22:05:00,1.0,0.0,0.0,0.25,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0
